Nombre,Apellido materno,Apellido paterno,Edad,CURP,Prueba1,Prueba2,Team
Gilma Gilma,Liukko,Rim,14,47696c6d6147696c6d614c69756b6b6f52696d4e59,100CI,50L,B
Janey Janey,Gabisi,Garufi,15,4a616e65794a616e65794761626973694761727566695749,50L,100D,A
Lili Lili,Paskin,Poquette,9,4c696c694c696c695061736b696e506f7175657474654e4a,50P,100P,D
Loren Loren,Asar,Albares,17,4c6f72656e4c6f72656e41736172416c62617265735041,100CI,50P,E
Dorothy Dorothy,Chesterfield,Ruta,15,446f726f746879446f726f746879436865737465726669656c64527574614341,50L,50P,F
Gail Gail,Similton,Caldarera,12,4761696c4761696c53696d696c746f6e43616c6461726572614341,50L,100D,D
Catalina Catalina,Tillotson,Maclead,12,436174616c696e61436174616c696e6154696c6c6f74736f6e4d61636c6561644e4a,100P,50P,A
Lawrence Lawrence,Lorens,Amigon,15,4c617772656e63654c617772656e63654c6f72656e73416d69676f6e5249,50P,50M,C
Carlee Carlee,Boulter,Marrier,9,4361726c65654361726c6565426f756c7465724d6172726965724b53,100P,100L,B
Thaddeus Thaddeus,Ankeny,Wieser,14,54686164646575735468616464657573416e6b656e795769657365724341,50D,50M,A
Jovita Jovita,Oles,Dilliard,15,4a6f766974614a6f766974614f6c657344696c6c69617264464c,100P,100L,B
Alesia Alesia,Hixenbaugh,Tollner,18,416c65736961416c65736961486978656e6261756768546f6c6c6e65724443,50D,100P,D
Lai Lai,Harabedian,Morasca,9,4c61694c61694861726162656469616e4d6f72617363614341,100P,50D,E
Brittni Brittni,Gillaspie,Foller,15,42726974746e6942726974746e6947696c6c6173706965466f6c6c65724944,50L,50M,B
Raylene Raylene,Kampa,Paprocki,9,5261796c656e655261796c656e654b616d7061506170726f636b69494e,100L,50P,A
Flo Flo,Bookamer,Venere,9,466c6f466c6f426f6f6b616d657256656e6572654e45,100D,100L,F
Jani Jani,Biddy,Darakjy,15,4a616e694a616e694269646479446172616b6a795741,50L,50M,C
Chauncey Chauncey,Motley,Butt,16,436861756e636579436861756e6365794d6f746c657942757474464c,50P,50D,F
